date,map,result,kills,deaths,assists,hs,hs_percent,kd,kr,mvps,adr,first_kills,first_deaths,entry_count,entry_wins,rounds_played,overtime,match_duration_min,my_team_score,enemy_team_score,round_difference
2025-06-22 14:53:40,de_ancient,Loss,19,19,5,12,63.0,1.0,0.79,4,72.8,4,1,5,4,24,False,36.2,13,11,2
2025-06-22 14:10:12,de_inferno,Win,16,8,4,9,56.0,2.0,0.84,2,66.9,1,1,2,1,19,False,36.0,13,6,7
2025-06-21 19:21:28,de_mirage,Win,21,8,3,11,52.0,2.62,1.0,3,94.2,0,3,3,0,21,False,37.3,13,8,5
2025-06-21 17:50:03,de_mirage,Loss,10,15,6,5,50.0,0.67,0.56,0,65.4,1,0,1,1,18,False,25.4,5,13,-8
2025-06-21 17:22:09,de_ancient,Loss,15,14,3,7,47.0,1.07,0.88,1,88.3,5,3,8,5,17,False,25.0,13,4,9
2025-06-21 17:05:51,de_inferno,Win,2,0,2,2,100.0,2.0,0.4,0,62.0,0,0,0,0,5,False,10.5,0,5,-5
2025-06-21 16:10:58,de_anubis,Loss,14,13,8,9,64.0,1.08,0.67,1,92.0,1,3,4,1,21,False,37.4,13,8,5
2025-06-21 15:32:01,de_anubis,Loss,12,17,2,5,42.0,0.71,0.57,1,60.8,1,6,7,1,21,False,33.0,8,13,-5
2025-06-19 15:26:19,de_inferno,Loss,13,17,3,9,69.0,0.76,0.57,3,68.0,1,2,3,1,23,False,41.7,10,13,-3
2025-06-19 14:29:29,de_inferno,Loss,14,25,5,7,50.0,0.56,0.5,0,56.4,3,4,7,3,28,True,52.8,12,16,-4
2025-06-19 03:42:47,de_mirage,Win,19,19,6,13,68.0,1.0,0.79,2,95.7,2,2,4,2,24,False,39.0,13,11,2
2025-06-19 02:56:26,de_anubis,Win,15,14,4,8,53.0,1.07,0.65,2,71.3,3,2,5,3,23,False,42.1,10,13,-3
